uid,pid,tstamp,lmuser_id,crdate,cruser_id,deleted,hidden,category_id,"name_de","name_en","desc_de","desc_en",is_mandatory,order_number
21,754,1353314295,103,1345708532,103,0,0,6,"Ist ein Lageplan vorhanden?","Is a map provided where the library is located and a floor plan of the library building?","Der Lageplan zeigt sowohl die Lage der Bibliothek als auch die Anordnung der Räumlichkeiten selbst. Es wird klar, wie die Bibliothek in das Gebäude integriert ist, und wo welche Themenbereiche angesiedelt sind.","A map of the location of the library and its layout shows how the library is integrated into the building and where specific areas of the library can be found.",1,2
22,754,1353314191,103,1345708532,103,0,0,6,"Ist eine Wegbeschreibung vorhanden?","Are there direction to the library?","Die Anreise per Auto (inkl. Parkmöglichkeiten), zu Fuss und per öffentlicher Verkehrsmittel ist angegeben. ","There should be information about how the library can be reached by car (including parking) or foot or by public transport.",1,1
23,754,1353314557,103,1345708532,103,0,0,6,"Ist der Lageplan in einer ausreichenden Grösse dargestellt bzw. kann er ausreichend vergrössert werden?","Is the plan presented in a good size or is a zooming option available?","Beschriftungen des Lageplans sollten mind. einen Schriftgrad von 12 Pkt. aufweisen. Ist dies nicht möglich, sollten Möglichkeiten zur Vergrösserung wie bpsw. eine Zoom-Funktion zur Verfügung gestellt werden.
","Labels should at least have a font size of 12 pt. Failing that options for zooming or for enlarging fonts should be provided. ",1,3
24,754,1353314908,103,1345708532,103,0,0,6,"Sind Wegbeschreibung und Lageplan in einer Druckversion vorhanden bzw. steht eine Druckfunktion zur Verfügung?","Is a print version of the map of the area and the floor plan provided, or is a printing feature available?","Die Druckfunktion des Browsers ist an dieser Stelle nicht ausreichend. Statt dessen sollte zusätzlich  direkt in die Seite ein Button oder Link integriert sein, mittels dessen der Druck im angepassten Layout in ausreichender Lesbarkeit (Farbe/ Schwarz-Weiss, Schriftgrösse und Kartengrösse) gestartet werden kann.","The print function of the web browser is not sufficient for this purpose. Rather a button or a link should be integrated directly into the website, allowing to print the map/floor plan in an optimized layout (b/w, suitable font size and map size).",1,5
25,754,1353314669,103,1345708532,103,0,0,6,"Ist die Ausrichtung des Lageplans klar und sind die notwendigen Legenden mit dargestellt?","Is the orientation of the area map clearly displayed and does the legend contain all necessary informations?","Der Lageplan sollte, wie bei Karten üblich, genordet sein und alle verwendeten Symbole und Zeichen sollten in einer Legende beschrieben werden.","Conventionally maps are oriented North. All symbols and signs should be described in a legend.",1,4
26,754,1353315030,103,1345708532,103,0,0,7,"Wird dem Anwender eine geleitete Führung durch die Bibliothek (Guided Tour) zur Verfügung gestellt?","Is a guided tour of the library available to the users?","Da unerfahrenen Anwendern in der Regel der Überblick über die Bibliothek fehlt, sollte ein fester Pfad zur Erkundung angeboten werden.","Inexperienced users may profit from a path guiding them through the library.",1,1
27,754,1353315126,103,1345708532,103,0,0,7,"Kann der Anwender dabei steuern, in welchem Bereich er gehen möchte, und wie lange er diesen Bereich erkunden will?","In this context, is the user able to control the process which area he wants to go, and how long he wants to explore this area?","Anwender mit spezifischen Interessen möchten gegebenenfalls einen speziellen Bereich gezielt oder länger betrachten. Bei multimedialen Führungen sollte somit eine \"Pause\"-Taste eingebaut werden. Die Wahl des zu erkundenden Bereichs sollte per Formularfeld oder Link jederzeit möglich sein.","In the guided tour, are users free to choose which areas they would like to explore and how much time they would like to spend there?",1,2
28,754,1353315244,103,1345708532,103,0,0,7,"Kann der Anwender jederzeit zum Ausgangspunkt seiner Tour zuürckkehren und zwischen den Bereichen navigieren?","Can users return to the starting point of their tour or navigate between areas at any time?","Eine Ausreichende Navigation, z. B. in Form einer Breadcrumb-Navigation, steht zur Verfügung.","Sufficient navigation, for instance in the form of a breadcrumb navigation, is available.",1,3
29,754,1353315541,103,1345708532,103,0,0,7,"Erhält der Anwender ein Feedback, welche Bereiche er schon erkundet hat und welchen Bereich er gerade betrachtet?","Do users get feedback regarding which areas they have explored already and which area they are currently looking at?","Besuchte Räume oder die dazu führenden Links sollten beispielsweise farblich gekennzeichnet werden.","Areas already visited or the links to them should be marked in colors.",1,4
30,754,1353315706,103,1345708532,103,0,0,7,"Enthält die Führung neben der Information zur Lage der einzelnen Bereiche auch illustratives Bildmaterial  (Fotografien oder Videos)?","In addition to information about the location or various areas does the guided tour include additional media elements (photos or videos)?","","",1,5
31,754,1353315791,103,1345708532,103,0,0,7,"Enthält die Führung zusätzlich noch weitere relevante Informationen (Text oder Audio)?","Does the guided tour provide other relevant information such as text or audio files?","Beispielsweise sollten bei der Präsentation des Informationsschalters innerhalb der Tour die Öffnungszeiten miteingeblendet werden.","E.g. during the presentation of the information desk the opening times should be displayed.",0,6
32,754,1353315871,103,1345708532,103,0,0,8,"Kann der Chat ohne Installation einer zusätzlichen Software über die Webseite direkt genutzt werden?","Can chat be used directly via the website without installing additional software?","","",1,1
33,754,1353315892,103,1345708532,103,0,0,8,"Kann der Chat anonym ohne Registrierung und Angabe persönlicher Informationen genutzt werden?","Can chat be used anonymously without registration and without providing personal information?","","",0,2
34,754,1353315940,103,1345708532,103,0,0,8,"Ist ersichtlich, ob die Bibliothek aktuell on- oder offline ist und sind die Servicezeiten angegeben?","Is it clearly stated whether the library is currently online or offline and are the online times provided?","","",1,3
35,754,1353316047,103,1345708532,103,0,0,8,"Wird eine alternative Kontaktmöglichkeit angeboten, wenn die Bibliothek offline ist, oder kann ggf. eine Nachricht hinterlassen werden?","When the chat service is offline are alternative contact options availabe; can the user e.g. leave a message?","","",1,4
36,754,1353316205,103,1345708532,103,0,0,8,"Ist ersichtlich, in welchen Sprachen kommuniziert werden kann?","Is clearly stated which languages are available for communication?","Grundsätzlich sollte die Kommunikation in der Landessprache/ den Landessprachen und in Englisch ermöglicht werden.","As a rule, communication should at least be possible both in the local language(s) and in English.",1,5
37,754,1353316295,103,1345708532,103,0,0,8,"Ist das Eingabefeld ausreichend breit dargestellt?","Is the input field wide enough?","Zur Eingabe einer Frage sollten mind. 250 Zeichen ohne Scrollen zur Verfügung stehen.","At least 250 characters (without scrolling) should be available for entering questions.",1,6
38,754,1353316417,103,1345708532,103,0,0,8,"Ist klar, wie die Frage abgeschickt werden kann?","Is it clear how a question can be submitted?","Das Absenden einer Nachricht sollte sowohl mittels eines dedizierten Buttons als auch per \"Enter\" möglich sein.
","It should be possible to submit a query both by clicking on a dedicated button and through the \"return\" key.",1,7
39,754,1353316814,103,1345708532,103,0,0,8,"Erhält der Anwender ein Feedback, dass seine Anfrage erfolgreich übermittelt wurde und wird auf die Fragen angemessen schnell reagiert?","Do users receive an automatic confirmation that their request was submitted? Are requests dealt with adequate  speed?","Es sollte unmittelbar ersichtlich sein, dass eine Frage übermittelt wurde. Auf die Eingabe eines Nutzers sollte zudem binnen weniger als 10 Sekunden eine Reaktion erfolgen, z.B. in dem angezeigt wird, dass die Anfrage bereits bearbeitet wird. Eine erste Antwort sollte in maximal 30 Sekunden vorliegen. Sofern die Beantwortung länger in Anpsruch nimmt, sollte dies dem Anwender möglichst rasch mitgeteilt werden.","Users should know immediately that their request has been successfully submitted. Confirmation should take no longer than 10 seconds, e.g. by displaying that the request is being processed. A first reply to a question from a user should be available within 30 seconds. Otherwise the user should be informed that his request takes longer to be processed.",1,8
40,754,1353318525,103,1345708532,103,0,0,9,"Werden die Antworten vollständig angezeigt?","Are the replies displayed completely?","","",1,13
41,754,1353316865,103,1345708532,103,0,0,9,"Kann der Chatbot ohne Installation einer zusätzlichen Software über die Webseite direkt angesprochen werden?","Can the chatbot be used directly on the website without installing additional software?","","",1,1
42,754,1353317490,103,1345708532,103,0,0,9,"Kann der Chat anonym ohne Registrierung und Angabe persönlicher Informationen genutzt werden?","Can chat be used anonymously without registration and without providing personal information?","","",0,2
43,754,1353317571,103,1345708532,103,0,0,9,"Ist ersichtlich, in welchen Sprachen kommuniziert werden kann?","Is clearly stated which languages are available for communication?","Grundsätzlich sollte die Kommunikation in der Landessprache/ den Landessprachen und in Englisch ermöglicht werden.","As a rule, communication should be possible both in the local language(s) as well as in English",1,3
44,754,1353317586,103,1345708532,103,0,0,9,"Gibt es einen Avatar?","Is chat supported by an avatar?","","",0,4
45,754,1353318172,103,1345708532,103,0,0,9,"Wird auf Fragen angemessen schnell reagiert?","Is the response time of the chatbot adequate?","Die Antwort sollte unmittelbar nach Übertragung der Eingabe erfolgen.","Replies should go out immediately after the transmission of an input.",1,9
46,754,1353317694,103,1345708532,103,0,0,9,"Ist das Eingabefeld ausreichend breit dargestellt?","Is the input field wide enough?","Zur Eingabe einer Frage sollten mind. 250 Zeichen ohne Scrollen zur Verfügung stehen.","At least 250 characters (without scrolling) should be available for entering a question.",1,5
47,754,1353317863,103,1345708532,103,0,0,9,"Ist klar, wie eine Frage abgeschickt werden kann?","Is it clear how a question can be submitted?","Das Absenden einer Nachricht sollte sowohl mittels eines dedizierten Buttons als auch per \"Enter\" möglich sein.","It should be possible to submit a question both by clicking on a dedicated button and through the \"return\" key.",1,6
48,754,1353318011,103,1345708532,103,0,0,9,"Kann die Eingabe in natürlicher Sprache formuliert werden?","Can requests be formulated in natural language?","Kann der Chatbot bspw. eine Anfrage der Form \"Wann hat die Bibliothek geöffnet?\" verarbeiten und interpretieren?","For instance, can the chatbot process and interpret a request like \"What are the opening hours of the library\"?",1,7
49,754,1353318102,103,1345708532,103,0,0,9,"Erhält der Anwender ein Feedback, dass seine Anfrage erfolgreich übermittelt wurde?","Do users receive an automatic confirmation that their request was submitted?","Das Feedback sollte unmittelbar nach Übertragung der Eingabe folgen.","A response should go out immediately after the transmission of an input.",1,8
50,754,1353318334,103,1345708532,103,0,0,9,"Kann der Avatar Auskünfte zu häufig gestellten Fragen wie beispielsweise Öffnungszeiten, Leihgebühren und Dienstleistungen der Bibliothek geben?","Can the avatar provide answers to frequently asked questions such as opening hours, fees and library fees?","Der Chatbot sollte in der Lage sein, alle häufig gestellten/ in den FAQ angeführten Fragen beantworten zu können. Hierzu zählen beispielsweise folgende Fragen: \"Wie sind die Öffnungszeiten der Bibliothek?\", \"Welche Gebühren fallen für Ausleihen an?\"","The chatbot should be able to answer all questions from the FAQ section. This includes for instance: \"What are the opening hours of the library?\", \"What are the fees for borrowing a book?\"",1,10
51,754,1353318477,103,1345708532,103,0,0,9,"Kann der Avatar zusätzlich Hilfestellung zur Recherche im Katalog geben?","Can the avatar provide additional support on how to search efficiently in the library catalogue?","","",0,11
52,754,1353318503,103,1345708532,103,0,0,9,"Sind die Antworten in natürlicher Sprache (korrekte Grammatik und Rechtschreibung) formuliert?","Are the replies formulated in natural language (correct grammer and spelling)?","","",1,12
53,754,1353318678,103,1345708532,103,0,0,10,"Ist der Link zur entsprechenden Social-Networking-Seite angemessen in die Bibliothekswebseite eingebunden?","Is the link to the social networking site properly integrated into the library website?","Der Link ist angemessen in die Seitennavigation oder an einer anderen passenden Stelle eingebaut und öffnet die Social-Networking-Seite in einem neuen Fenster oder Tab. Dem Anwender ist klar ersichtlich, dass er auf eine andere Plattform wechselt.","The link is integrated properly in the side menu or in another convenient position. The social networking site will open in a new browser window or in a new tab, so that it is clear to the users that they are changing the platform.",1,1
54,754,1354648951,103,1345708532,103,0,0,10,"Ist das Social-Networking-Profil der Bibliothek angemessen, übersichtlich und  ansprechend gestaltet?","Is the social networking profile of the library clearly laid out and is its design appealing?","Das Social-Networking-Profil greift das Design (Farbgebung, Logo, usw.) der Bibliothekswebseite auf und wirkt zeitgemäss und ansprechend. Die Struktur des Auftritts ist übersichtlich gestaltet.","Is the social networking profile based on the design of the library website (color scheme, logo, etc.) and does it look contemporary and appealing? Does it have a contemporary look?",1,2
55,754,1354649158,103,1345708532,103,0,0,10,"Stellt das Social-Networking-Profil alle relevanten Informationen und darüber hinaus passende Webinhalte zur Verfügung, so dass ein Mehrwert zur Bibliothekswebseite entsteht?","Does the social networking profile provide relevant information adding value to the library website?","Das Profil beinhaltet alle relevanten Kontaktinformationen (Namen der Bibliothek, Link auf die Bibliothekswebseite, usw.). Irrelevante Werbung innerhalb des Profils ist nicht vorhanden, dafür werden multimediale Elemente aus dem Netz (z.B. Youtube-Videos, Flyer für Veranstaltungen, etc.) angeboten.","The profile contains all relevant contact information (name of the library, link to the library website, etc.) as well as multimedia content such as video clips or event flyer. There is no irrelevant advertising within the profile.",1,3
56,754,1354649237,103,1345708532,103,0,0,10,"Wird das Social-Networking-Profil regelmässig aktualisiert?","Is the social networking profile being regularly updated?","Die Inhalte (z.B. Veranstaltungshinweise) sollten regelmässig gepflegt und stets aktuell sein.","The content (e.g. event announcements) should be maintained regularly so that the profile is always current?",1,4
57,754,1354649336,103,1345708532,103,0,0,10,"Ist ersichtlich, welcher Mitarbeiter der Bibliothek welche Beiträge verfasst hat?","Is it clearly stated which employee of the library is responsible for which articles on the profile?","Social-Networking-Seiten basieren auf persönlichen Kontakten. Aus diesem Grund ist es für die Akzeptanz durchdie Nutzer wichtig, dass sie mit den Beiträgen nicht nur eine abstrakte Institution, sondern reale Personen verbinden können.","Social networking sites are based on personal contacts. Hence it matters to users to associate contributions on the profile with real people rather than abstract institutions.",0,5
58,754,1354649547,103,1345708532,103,0,0,10,"Ermöglicht das Social-Networking-Profil Bibliotheksnutzern eine ausreichende interaktive Beteiligung?","Does the social networking profile allow users to participate sufficiently?","In den Einstellungen sollte es zumindest direkten Kontakten erlaubt werden, sich ins Gästebuch einzutragen, Anfragen zu stellen, Kommentare zu verfassen usw.","The profile settings should allow direct contacts to sign the guestbook, to aks questions, to write comments, etc.",1,6
59,754,1354649626,103,1345708532,103,0,0,10,"Reagiert die Bibliothek angemessen auf Kommentare, Gästebucheinträge und Anfragen?","Does the library respond appropriately to comments, guestbook entries and queries of the users?","Wenn möglich sollte täglich auf Gästebucheinträge, Kommentare und Anfragen reagiert werden.","If possible the library should respond to guestbook entries, comments and queries on a daily basis.",1,7
60,754,1354649682,103,1345708532,103,0,0,11,"Sind die Navigationselemente als solche klar erkennbar?","Are all navigation elements clearly recognizable?","","",1,1
61,754,1354649740,103,1345708532,103,0,0,11,"Ermöglichen die verwendeten Navigationselemente einen schnellen Überblick über die der Seite zugrundeliegende Struktur und die zur Verfügung stehenden Funktionalitäten?","Do the navigation elements allow the users to get a quick overview of the underlying structure of the website and its functionalities?","","",1,2
62,754,1354649928,103,1345708532,103,0,0,12,"Sind die einzelnen Hierarchieebenen optisch klar voneinander getrennt, so dass die Darstellung übersichtlich wirkt?","Are the hierarchy levels clearly marked out, so that the information representation is well-presented?","Die einzelnen Hierarchieebenen sind beispielsweise farblich, durch Schriftgrösse oder Einrückung voneinander unterscheidbar.","E.g. are the different level marked out by color, font size or indentation.",1,1
63,754,1354649998,103,1345708532,103,0,0,12,"Bietet die Sitemap einen direkten Zugriff auf die angeführten Seiten?","Does the site map offer direct access to the sites listed?","Die einzelnen Menüpunkt sind mit den korrekten Seiten verlinkt, wobei alle Links funktionieren.","The individual menu items are linked to the correct pages. All links work.",1,2
64,754,1354650139,103,1345708532,103,0,0,12,"Sind die einzelnen Menüpunkte inhaltlich gut voneinander unterscheidbar?","Can the individual menu items be clearly distinguished by their respective content?","Die Benennung der einzelnen Punkte ist eindeutig, so dass der Anwender einen angemessenen Überblick erhält, wo welche Informationen zu finden sind.","Items are named unambiguously, so users receive a good overview of where information is located.",1,3
65,754,1354650238,103,1345708532,103,0,0,12,"Wird der Link zur Sitemap auf jeder Seite der Website angezeigt und ist er konsistent positioniert?","Is there a link to the site map on each page, and is the link positioned consistently?","Der Link zur Sitemap befindet sich z.B. immer oben rechts auf einer Seite.","For instance the link to the sitemap is always in the top right corner.",1,4
66,754,1354650369,103,1345708532,103,0,0,13,"Ist die Sitesearch optisch klar von der Suche im Bibliotheksbestand abgegrenzt?","Is the site search clearly distinguished from the search in the library catalogue?","Der Anwender kann anhand der Positionierung und Darstellung deutlich erkennen, dass es sich bei der Sitesearch nicht um eine Suche im Katalog handelt.","Users can easily see from the layout and other optical features when they are in the site search and when the are in the catalogue search.",1,1
67,754,1354650455,103,1345708532,103,0,0,13,"Wird die Sitesearch auf jeder Seite der Website angezeigt und wird sie konsistent in der Seite platziert?","Is the site search available on every page? Is the site search positioned consistently on all pages?","Das Eingabefeld der Sitesearch befindet sich z.B. immer oben rechts auf einer Seite.","For instance, the site search is always positioned in the top right corner.",1,2
68,754,1354650537,103,1345708532,103,0,0,13,"Kann die Suche sowohl durch einen entsprechenden Button sowie durch das Drücken der \"Enter\"-Taste gestartet werden?","Can the search be started by clicking a button as well as by pressing \"Enter\"?","","",1,3
69,754,1354650583,103,1345708532,103,0,0,13,"Erlaubt die Suche Anfragen mit einer unterschiedlichen Anzahl an Suchbegriffen?","Does the search engine permit queries with a different number of search terms?","","",1,4
70,754,1354650640,103,1345708532,103,0,0,13,"Ist transparent, wie die unterschiedlichen Suchbegriffe miteinander verknüpft werden, sofern der Anwender keine Operatoren und Klammern eingibt?","Is it transparent to the users how multiple search terms are connected (which operator is used by default)?","","",1,5
71,754,1354650733,103,1345708532,103,0,0,13,"Ist es möglich, unterschiedliche Operatoren miteinander zu verknüpfen, und ist klar, in welcher Reihenfolge diese abgearbeitet werden?","Is it possible to combine several (different) operators? Is it clear in which order they are processed?","","",1,6
72,754,1354650790,103,1345708532,103,0,0,13,"Können die Booleschen Operatoren AND, OR und NOT eingesetzt werden?","Are the boolean operators AND, OR and NOT in use?","","",1,7
73,754,1354650857,103,1345708532,103,0,0,13,"Werden unterschiedliche Schreibweisen für die Eingabe der Booleschen Operatoren unterstützt?","Are different spellings for the operators permitted?","","Upper case, lower case, different languages such as OR and ODER, + and - are supported",1,8
74,754,1345708532,103,1345708532,103,0,0,13,"Ist es möglich, Wildcards und Trunkierungen zu verwenden?","Is it possible to use wildcards and truncations?","","",1,9
75,754,1354650915,103,1345708532,103,0,0,13,"Ist die initiale Sortierung (z.B. nach Relevanz) der Ergebnisse für den Anwender transparent?","Is the initial order (e.g. by relevance) of the results transparent to the user?","","",1,10
76,754,1354651305,103,1345708532,103,0,0,13,"Ist es transparent, in wie weit und weshalb die einzelnen Treffer der Suchanfrage entsprechen?","Is in transparent how far and in what respect the results match the query?","Der Bezug eines Treffers zur Suchanfrage ist dann unklar, wenn die Suchbegriffe nicht in der angezeigten Information vorkommen. Ein farbliches Hervorheben von Übereinstimmungen wäre eine mögliche Lösung.","If the search term is not included in the information about a result, it is not apparent how the result relates to the query. Highlighting matching terms would be a possible solution.",1,11
77,754,1354651268,103,1345708532,103,0,0,13,"Ist die Suchanfrage, die zur Ergebnisliste geführt hat, weiterhin vollständig sichtbar und kann sie direkt editiert werden?","Is the original query still visible when the result list is displayed? Can the user edit the original query further?","Beide Kriterien müssen erfüllt sein.","Both criterias should be fulfilled.",1,13
78,754,1354651385,103,1345708532,103,0,0,13,"Ist die Anzahl der Treffer gut sichtbar und in der Nähe der Ergebnisliste platziert?","Is the number of results clearly displayed? Is it displayed next to the result list?","","",1,14
79,754,1354651595,103,1345708532,103,0,0,13,"Ist die Trefferliste klar strukturiert und werden Suchbegriffe in der Trefferliste optisch hervorgehoben?","Is the result list clearly structured? Are the search terms of the original query highlighted?","Titel, Link und ein Treffersnippet sind angegeben, wobei der Treffersnippet einen guten Eindruck über den Inhalt einer referenzierten Seite erlaubt.","Title, link and a result snippet are available. The snippet gives a good overview of the content of a referenced page.",1,15
80,754,1354651690,103,1345708532,103,0,0,13,"Gibt es eine Hilfefunktion für die Seitensuche?","Is a help section available for the site search?","In der Hilfe sollten alle verwendbaren Operatoren und Eingabmöglichkeiten beschrieben sein (am besten anhand von illustrativen Beispielen).","The help section should describe all operators and input options (ideally by examples).",1,12
81,754,1354651798,103,1345708532,103,0,0,14,"Sind zu allen relevanten Begriffen Erläuterungen im Glossar vorhanden?","Does the glossary provide explanations for all relevant terms?","Es sollten mindestens zu allen Funktionen, die die Webseite bietet (z.B. Virtual Tour, Keyword-Search), sowie zu wichtigen Metadatenfeldern (z.B. Monografie, Bibliografie) Erklärungen vorhanden sein.","All functions of the website (e.g. virtual tour, keyword search, etc.) and the key metadata fields (e.g. monograph, bibliography) should be explained.",1,1
82,754,1354652387,103,1345708532,103,0,0,14,"Sind die Erläuterungen knapp gehalten und für Laien verständlich?","Are the explanations concise and are they understandable for non-experts?","Die Einträge sollten in einer einfach verständlichen Sprache verfasst sein. Fachausdrücke sollten hierbei nach Möglichkeit vermieden werden oder sind direkt im Eintrag zu erläutern (nicht ausschliesslich über Querverweise).","Entries should be written in clear and non-technical language. Where technical terms can not be avoided, they should be explained directly in the text, not merely via cross-reference.",1,2
